feature,importance
num__int_rate,0.26751985010049784
num__term,0.08317685208014551
num__loan_to_income,0.05726972675135249
num__installment_to_income,0.05356794120412933
num__dti,0.04800176353207658
num__sqrt_dti,0.046746696859009416
num__revol_util,0.04149857575663283
num__open_to_total_acc,0.03911033998300109
num__revol_bal,0.031839084088512694
num__installment,0.0316894628389643
num__revol_balance_util,0.031624802131285
num__revol_balance_to_income,0.029161886105140127
num__loan_amnt,0.028710101623250654
num__annual_inc,0.028421554700159977
num__log_annual_inc,0.027724870757907076
cat__verification_status_Not Verified,0.02414825201374069
num__total_acc,0.02238631701741683
cat__home_ownership_RENT,0.015832751781892262
num__open_acc,0.015423465282699469
num__inq_last_6mths,0.014682217029366083
num__emp_length,0.01355406047883761
num__recent_inquiry_flag,0.012171476147764657
cat__home_ownership_MORTGAGE,0.008970483860048218
cat__verification_status_Verified,0.005924976708483369
cat__verification_status_Source Verified,0.005566122895877619
cat__purpose_debt_consolidation,0.005056433003271306
cat__purpose_credit_card,0.0034402430492638616
num__pub_rec,0.00250644434060156
num__delinq_2yrs,0.0020572025520895244
cat__home_ownership_OWN,0.0010026252558687984
cat__purpose_home_improvement,0.00048682190878231456
cat__purpose_other,0.00042171189743080465
cat__purpose_small_business,0.00022992966366585646
cat__purpose_major_purchase,5.8325366825115966e-05
cat__purpose_car,1.663123400923612e-05
cat__home_ownership_ANY,0.0
cat__home_ownership_NONE,0.0
cat__home_ownership_OTHER,0.0
cat__purpose_educational,0.0
cat__purpose_house,0.0
cat__purpose_medical,0.0
cat__purpose_moving,0.0
cat__purpose_renewable_energy,0.0
cat__purpose_vacation,0.0
cat__purpose_wedding,0.0
