n_estimators,max_features,max_depth,min_samples_split,min_samples_leaf,class_weight,bootstrap,val_auc,chosen_flag
300,0.8,14,2,50,,True,0.688174837169671,False
1000,sqrt,,50,1,balanced,True,0.6915081490380951,False
1000,0.8,6,2,5,balanced,True,0.6869201830055705,False
300,0.5,,10,5,balanced,True,0.6779997687364832,False
600,0.8,18,50,1,balanced,True,0.6804891691788107,False
600,0.8,,10,1,balanced,True,0.6733096816737568,False
600,sqrt,18,2,20,balanced,True,0.6940570610369989,False
300,sqrt,18,10,20,balanced,True,0.6929756213386798,False
300,0.8,18,2,50,balanced,True,0.6882023927422845,False
1000,0.5,14,10,20,balanced,True,0.6871163125617182,False
600,0.8,18,10,1,balanced,True,0.6727329677144206,False
1000,0.5,,10,1,balanced,True,0.67450585650489,False
600,0.8,,10,20,balanced,True,0.6844450827219238,False
1000,0.5,6,10,5,,True,0.6903327212586908,False
1000,0.5,14,10,1,,True,0.6754497929405092,False
600,sqrt,18,50,5,,True,0.6911612572886786,False
300,sqrt,14,2,5,,True,0.6859721724100054,False
300,0.5,18,2,50,,True,0.6899006979507565,False
300,0.5,14,10,5,balanced,True,0.6804013903617524,False
1000,sqrt,14,2,50,balanced,True,0.6947293092902417,False
1000,0.5,,2,20,,True,0.6868629178283762,False
600,0.5,,50,50,,True,0.6905917540874701,False
1000,0.5,18,50,5,,True,0.6825005353995034,False
600,0.5,14,2,50,,True,0.690613792679371,False
300,0.8,18,50,20,,True,0.6833826660480885,False
300,sqrt,18,50,5,balanced,True,0.6914224561129471,False
300,0.8,10,2,5,balanced,True,0.6814743046351959,False
1000,0.5,14,2,5,,True,0.6791384315575341,False
300,0.5,18,10,20,balanced,True,0.6867278685701096,False
600,sqrt,10,10,1,balanced,True,0.6890783973108654,False
1000,sqrt,6,50,1,balanced,True,0.6934750677664465,False
600,sqrt,6,10,50,balanced,True,0.6947700300879248,False
300,0.5,,50,5,,True,0.6819595506522539,False
600,0.5,10,50,20,,True,0.6881524672807139,False
300,0.5,6,10,50,,True,0.6910505200496567,False
1000,0.8,,10,1,balanced,True,0.6713066041647892,False
1000,sqrt,10,10,1,balanced,True,0.6888312414902775,False
1000,0.8,,10,5,,True,0.6760928126123833,False
300,0.8,10,10,20,,True,0.684027564351096,False
1000,0.8,18,10,50,balanced,True,0.6888946849621512,False
1000,0.5,14,2,50,,True,0.6902885861385295,False
600,0.5,6,10,20,balanced,True,0.6906183481772973,False
1000,sqrt,6,2,50,balanced,True,0.6944001630318063,False
300,0.8,14,2,20,balanced,True,0.6829223609558599,False
1000,sqrt,18,2,20,balanced,True,0.6938911695609921,False
600,sqrt,6,2,1,,True,0.6943107536966481,False
600,0.8,,50,5,,True,0.6811048187298822,False
600,sqrt,,10,50,,True,0.6942788372038468,False
600,sqrt,10,10,50,balanced,True,0.6949912258853267,True
300,sqrt,,10,1,balanced,True,0.6846358320571521,False
300,0.8,6,10,5,,True,0.687971767615327,False
600,0.5,18,50,20,,True,0.6879887350786807,False
300,0.5,14,10,20,,True,0.6846394391165948,False
600,0.8,6,2,20,,True,0.6899450723008734,False
300,0.8,,2,5,balanced,True,0.6759592871628898,False
600,0.8,10,50,5,balanced,True,0.684060605215557,False
300,0.5,14,50,50,balanced,True,0.6902183934057616,False
300,sqrt,6,10,5,balanced,True,0.6929287406510404,False
300,sqrt,18,10,20,,True,0.6922899088907434,False
300,sqrt,14,2,20,balanced,True,0.6947363512789225,False
